MemTotal:       16331500 kB
MemFree:        14665072 kB
MemAvailable:   15733536 kB
Buffers:           48216 kB
Cached:          1179404 kB
SwapCached:            0 kB
Active:           404988 kB
Inactive:         903008 kB
Active(anon):      85012 kB
Inactive(anon):        0 kB
Active(file):     319976 kB
Inactive(file):   903008 kB
Unevictable:       22444 kB
Mlocked:           22444 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:            117512 kB
Writeback:             0 kB
AnonPages:        102964 kB
Mapped:           121576 kB
Shmem:               980 kB
KReclaimable:      72840 kB
Slab:             146632 kB
SReclaimable:      72840 kB
SUnreclaim:        73792 kB
KernelStack:        3824 kB
ShadowCallStack:     992 kB
PageTables:         4024 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8165748 kB
Committed_AS:     704952 kB
VmallocTotal:   135288315904 kB
VmallocUsed:       10084 kB
VmallocChunk:          0 kB
Percpu:             3360 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:     61440 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           25760 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
