MemTotal:       16331504 kB
MemFree:        14692364 kB
MemAvailable:   15796868 kB
Buffers:           44884 kB
Cached:          1218788 kB
SwapCached:            0 kB
Active:           402160 kB
Inactive:         938384 kB
Active(anon):      81600 kB
Inactive(anon):        0 kB
Active(file):     320560 kB
Inactive(file):   938384 kB
Unevictable:       22508 kB
Mlocked:           22508 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2784 kB
Writeback:             4 kB
AnonPages:         99404 kB
Mapped:           121364 kB
Shmem:               984 kB
KReclaimable:      73000 kB
Slab:             145500 kB
SReclaimable:      73000 kB
SUnreclaim:        72500 kB
KernelStack:        3984 kB
ShadowCallStack:    1044 kB
PageTables:         4468 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8165752 kB
Committed_AS:     688476 kB
VmallocTotal:   135288315904 kB
VmallocUsed:       10096 kB
VmallocChunk:          0 kB
Percpu:             3360 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:     61440 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           25760 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
