MemTotal:       16330120 kB
MemFree:        12311372 kB
MemAvailable:   15069488 kB
Buffers:           78740 kB
Cached:          2852528 kB
SwapCached:            0 kB
Active:           733772 kB
Inactive:        2485512 kB
Active(anon):     342072 kB
Inactive(anon):        0 kB
Active(file):     391700 kB
Inactive(file):  2485512 kB
Unevictable:       45708 kB
Mlocked:           42636 kB
SwapTotal:       3145724 kB
SwapFree:        3145724 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:            965124 kB
Writeback:             0 kB
AnonPages:        333776 kB
Mapped:           324628 kB
Shmem:             46712 kB
KReclaimable:     141732 kB
Slab:             223372 kB
SReclaimable:     141732 kB
SUnreclaim:        81640 kB
KernelStack:        4236 kB
ShadowCallStack:    1100 kB
PageTables:         6676 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    11310784 kB
Committed_AS:    2227104 kB
VmallocTotal:   135288315904 kB
VmallocUsed:       38352 kB
VmallocChunk:          0 kB
Percpu:             1856 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:     63488 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           26624 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
